Synsets,domain_x,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,ngram_2009_2019_original_sleep,ngram_2009_2019_updata_sleep
Synset('face_veil.n.01'),garm,1,1,0.0,0.9475524475524476,1.0739543958053896,9,1,1,nb,3.6310391711046434e-08,3.6310391711046434e-08
Synset('levi's.n.01'),garm,1,0,0.0,1.052836052836053,0.3965370076819899,5,2,2,nb,8.274679469702758e-07,8.274679469702758e-07
Synset('dressing_gown.n.01'),garm,1,0,0.0,0.9475524475524476,0.7435068894037312,13,3,1,nb,8.565575349359846e-07,8.565575349359846e-07
Synset('pea_jacket.n.01'),garm,1,0,0.0,1.1581196581196582,0.7600292647238142,7,2,1,nb,5.8694400635227566e-08,5.8694400635227566e-08
Synset('sable.n.04'),garm,1,0,0.0,0.9475524475524476,0.5782831362029021,5,1,6,nb,1.1438890550734144e-06,1.1438890550734144e-06
Synset('lambrequin.n.01'),garm,1,0,0.0,0.9475524475524476,0.6113278868430679,10,1,2,nb,4.933337375922548e-09,4.933337375922548e-09
Synset('tudung.n.01'),garm,1,0,0.0,0.9475524475524476,1.5200585294476283,6,1,1,nb,1.0952597192828957e-08,1.0952597192828957e-08
Synset('muffler.n.02'),garm,1,0,0.0,0.9475524475524476,0.4626265089623216,7,1,3,nb,3.427382678273199e-07,3.427382678273199e-07
Synset('patka.n.01'),garm,1,0,0.0,0.9475524475524476,0.3965370076819899,5,1,1,nb,1.0875705810678678e-08,1.0875705810678678e-08
Synset('suit.n.01'),garm,1,9,0.0,0.8422688422688422,1.900073161809536,4,2,10,b,3.221247544228266e-05,3.221247544228266e-05
Synset('polo_shirt.n.01'),garm,1,0,0.0,0.9475524475524476,1.0409096451652238,10,2,1,nb,4.016985229297761e-07,4.016985229297761e-07
Synset('coatee.n.01'),garm,1,0,0.0,1.052836052836053,0.4295817583221558,6,1,1,nb,9.165884931100992e-09,9.165884931100992e-09
Synset('jacket.n.01'),garm,1,26,0.0,1.052836052836053,0.1982685038409949,6,1,7,b,1.8077027060702346e-05,1.8077027060702346e-05
Synset('box_coat.n.01'),garm,1,0,0.0,1.052836052836053,0.8261187660041458,8,1,1,nb,1.8114745186824756e-09,1.8114745186824756e-09
Synset('bolero.n.02'),garm,1,0,0.0,1.1581196581196582,0.594805511522985,6,1,3,nb,1.8615415980411337e-07,1.8615415980411337e-07
Synset('chlamys.n.02'),garm,1,0,0.0,1.1581196581196582,1.2887452749664674,7,1,2,nb,4.737115172853185e-08,4.737115172853185e-08
Synset('mackinaw.n.01'),garm,1,0,0.0,1.052836052836053,0.9252530179246432,8,2,4,nb,9.56310272536388e-08,9.56310272536388e-08
Synset('tabard.n.01'),garm,1,0,0.0,1.1581196581196582,1.8009389098890378,6,1,1,nb,1.1661016018702709e-07,1.1661016018702709e-07
Synset('donkey_jacket.n.01'),garm,1,0,0.0,1.1581196581196582,0.7104621387635653,13,1,1,nb,1.3723974225047432e-08,1.3723974225047432e-08
Synset('lumberjack.n.02'),garm,1,0,0.0,1.1581196581196582,0.4130593830020729,10,2,2,nb,2.07565132899616e-07,2.07565132899616e-07
Synset('lavalava.n.01'),garm,1,0,0.0,0.9475524475524476,1.7018046579685404,8,1,1,nb,5.6055824934493755e-09,5.6055824934493755e-09
Synset('grass_skirt.n.01'),garm,1,0,0.0,0.9475524475524476,0.594805511522985,11,1,1,nb,2.5940432763947963e-08,2.5940432763947963e-08
Synset('hoopskirt.n.01'),garm,1,0,3.613333333333333,0.9475524475524476,0.4626265089623216,9,2,3,nb,1.4927106716724278e-07,1.4927106716724278e-07
