norm,Synsets,domain_x,ngrams_last_mean,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,kbnc_1m_sum,childes_1m_rel_sum,childes_2_4m_rel_sum,childes_5_7m_rel_sum,bnc_1m_sum,bnc_5_7m_sum,bnc_2_4m_sum,bnc_100m_sum,cabnc_per_100k_2_4m,cabnc_per_100k_1m
cling,Synset('cling.n.01'),fruit,-13.15141862,1,0,0.0,0.8761118170266836,1.0149734342295926,5,2,4,nb,164,0.000307,0.00032333333333333335,0.00033052631578947366,76,461,190,8339,627,282
concord_grape,Synset('concord_grape.n.01'),fruit,-18.58192926,1,0,0.0,1.2515883100381195,1.110127193688617,13,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
cooking_apple,Synset('cooking_apple.n.01'),fruit,-19.03145429,1,4,0.0,1.0012706480304956,0.983255514409918,13,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
cortland,Synset('cortland.n.01'),fruit,-15.7015509,1,0,0.0,1.1264294790343077,0.4281919175656094,8,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
cox,Synset('cox's_orange_pippin.n.01'),fruit,-18.37432775,1,0,0.0,1.2515883100381195,0.618499436483658,19,1,1,nb,0,0.0,0.0,0.0,14,62,30,1218,4,4
crab_apple,Synset('crab_apple.n.03'),fruit,-17.08894556,1,0,1.3401360544217686,1.0012706480304956,0.6502173563033328,9,2,3,nb,0,0.0,0.0,0.0,0,0,0,15,0,0
currant,Synset('currant.n.03'),fruit,-14.36654988,1,0,0.0,1.1264294790343077,1.474883271614877,7,1,3,nb,0,9e-06,8.75e-06,9.473684210526315e-06,3,9,3,186,3,3
damson,Synset('damson.n.01'),fruit,-17.33981582,1,0,1.3401360544217686,1.0012706480304956,0.5550635968443085,6,2,3,nb,2,0.0,0.0,0.0,0,6,2,27,0,0
date,Synset('date.n.08'),fruit,-9.465043549,1,0,1.3401360544217686,0.8761118170266836,1.0308323941394302,4,1,13,b,1956,0.003422,0.0034679166666666665,0.00336859649122807,3032,17344,7170,307118,8526,3469
delicious,Synset('delicious.n.01'),fruit,-14.59060663,1,2,0.0,1.1264294790343077,0.4757687972951215,9,1,3,nb,36,0.000155,0.0001475,0.00014403508771929825,34,198,87,3161,65,21
dewberry,Synset('dewberry.n.02'),fruit,-17.24391547,1,0,2.6802721088435373,1.0012706480304956,1.0625503139591048,8,1,2,nb,0,0.0,0.0,0.0,0,0,0,2,0,0
dried_fruit,Synset('dried_fruit.n.01'),fruit,-15.21127001,1,6,0.0,0.8761118170266836,0.3964739977459346,11,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
durian,Synset('durian.n.02'),fruit,-16.17148683,1,0,1.3401360544217686,0.8761118170266836,1.934793109000161,6,1,2,b,0,0.0,0.0,0.0,0,0,0,20,0,0
