Synsets,domain_x,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,ngram_10y_mean,ngram_1y_mean,ngram_1y_max,ngram_5y_mean,ngram_5y_max,ngram_10y_max,ngram_20y_mean,ngram_20y_max,ngram_50y_mean,ngram_50y_max,ngram_100y_mean,ngram_100y_max,ngram_200y_mean,ngram_200y_max,ngram_400y_mean,ngram_400y_max,ngram_500y_mean,ngram_500y_max
Synset('bodkin.n.04'),tool,1,0,0.0,0.9116129032258066,0.7665404543642885,6,2,4,nb,1.926010812995018e-07,2.1971827991740245e-07,2.139087124097827e-07,2.021421372395508e-07,2.139087124097827e-07,2.139087124097827e-07,1.7096810254495286e-07,2.139087124097827e-07,1.64156691417404e-07,2.139087124097827e-07,2.435900450441615e-07,4.539895530619731e-07,3.751464367048662e-07,1.0178037648245208e-06,5.81318781350081e-07,1.54590468355309e-05,5.533623537594294e-07,1.54590468355309e-05
Synset('box_wrench.n.01'),tool,1,0,7.85,1.0129032258064516,1.1263451574332404,10,2,1,nb,3.945270762230966e-09,2.0479768263192977e-09,1.7906985547155863e-09,3.103434031750026e-09,3.487891815645572e-09,5.90027238178692e-09,4.598918688660696e-09,8.855999558687877e-09,1.2223134155226347e-08,5.385100959598432e-08,1.0509909339716692e-08,5.385100959598432e-08,5.964010724765973e-09,5.385100959598432e-08,2.9894417847330688e-09,5.385100959598432e-08,2.3053195301499242e-09,5.385100959598432e-08
Synset('brace_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,1.2671383021123954,12,1,1,nb,1.1975846135477267e-11,2.0822076701731973e-11,4.1644153403463946e-11,1.2861601251616209e-11,4.1644153403463946e-11,5.456469998055269e-11,1.3104124267175147e-11,1.014365397233874e-10,2.0391325406532652e-11,1.3360906825354846e-10,2.0413192138423086e-10,4.831064215338188e-09,2.8154585981905035e-10,6.747501446469073e-09,1.4112398459757885e-10,6.747501446469073e-09,1.0882830350697908e-10,6.747501446469073e-09
Synset('bradawl.n.01'),tool,1,0,0.0,1.0129032258064516,0.8604025508170586,7,2,2,nb,3.8363960293275046e-08,3.6791746954589755e-08,2.694277909109921e-08,3.645031503365925e-08,3.337432830097242e-08,3.337432830097242e-08,3.280616208848183e-08,3.337432830097242e-08,2.4094694448245743e-08,3.337432830097242e-08,2.967438699748455e-08,4.8037144817492106e-08,6.478764210252768e-08,2.3892807199388244e-07,4.763963697514593e-08,1.0918196267084568e-06,4.435879690194369e-08,3.963079961977201e-06
Synset('brick_trowel.n.01'),tool,1,0,0.0,1.0129032258064516,0.3754483858110801,12,2,1,nb,3.240954470704806e-09,2.8450970347010385e-09,2.4971356059333427e-09,3.2142595789846906e-09,4.484555615746899e-09,4.484555615746899e-09,3.897905086170093e-09,6.676580247000352e-09,4.294942998608941e-09,7.021796939038483e-09,5.7050748035950745e-09,1.2811438965254496e-08,7.235352872150644e-09,3.4120457570452345e-08,6.052600159101085e-09,2.6245396611557226e-07,4.6674858919221825e-09,2.6245396611557226e-07
Synset('bricklayer's_hammer.n.01'),tool,1,0,0.0,1.0129032258064516,0.4693104822638501,19,1,1,nb,3.0172335337268083e-10,1.3594879215428346e-10,2.280881872263052e-10,1.7942624411700544e-10,3.737900267086758e-10,1.0164264568901515e-09,3.8313493779701127e-10,1.0164264568901515e-09,4.886886548341517e-10,1.194772086821061e-09,7.475871845048762e-10,5.838123984247545e-09,6.452332464102205e-10,6.8783226891966365e-09,3.7276370343355647e-10,1.8428506720624682e-08,2.8745816360933873e-10,1.8428506720624682e-08
Synset('bucksaw.n.01'),tool,1,0,0.0,1.0129032258064516,1.7051614188919888,7,1,1,nb,5.946169522988179e-09,7.683244636000341e-09,1.0416027537013539e-08,6.543001021194761e-09,1.0416027537013539e-08,1.0416027537013539e-08,6.086666017101643e-09,1.0416027537013539e-08,5.8559564331365375e-09,1.0416027537013539e-08,9.089708203671253e-09,3.854339913900162e-08,6.199668583992469e-09,3.854339913900162e-08,3.16396459492761e-09,3.854339913900162e-08,2.4399034664730224e-09,3.854339913900162e-08
Synset('bulldog_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.8291151853328019,14,1,1,nb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synset('bullnose.n.01'),tool,1,0,0.0,1.0129032258064516,0.969908330011957,8,2,1,nb,1.7591332885003534e-08,1.072579879600466e-08,1.1594483369931075e-08,1.4147564040995856e-08,2.2162803980929624e-08,2.6407061481936722e-08,2.1336029287248658e-08,4.0106602816614156e-08,2.1559041414026864e-08,4.095428440820115e-08,1.8529848124471444e-08,4.095428440820115e-08,1.0699295826659881e-08,4.095428440820115e-08,5.375263153017702e-09,4.095428440820115e-08,4.1451548545386505e-09,4.095428440820115e-08
Synset('can_opener.n.01'),tool,1,1,0.0,1.0129032258064516,0.4693104822638501,10,2,1,b,1.5110244170032675e-07,1.316383164279289e-07,1.207264035407718e-07,1.423584494175678e-07,1.6624588283775665e-07,1.6958649462495146e-07,1.3988816987150383e-07,1.702204628362125e-07,1.163072553502117e-07,1.702204628362125e-07,1.236264127034494e-07,1.8505397303414384e-07,6.976450009479262e-08,1.8505397303414384e-07,3.552610000208051e-08,1.8505397303414384e-07,2.7396088655450546e-08,1.8505397303414384e-07
Synset('carpenter's_hammer.n.01'),tool,1,0,0.0,1.0129032258064516,0.7821841371064169,10,3,1,nb,5.894020209490622e-08,4.5208005512720195e-08,3.052012242932278e-08,5.80791477943395e-08,3.991120228752365e-08,4.6706082668102056e-08,5.588798542358053e-08,4.717099774675937e-08,4.437099409856545e-08,4.717099774675937e-08,3.7827966837385357e-08,4.717099774675937e-08,2.7124628602260334e-08,4.717099774675937e-08,1.4297479539947425e-08,4.717099774675937e-08,1.1025556337536379e-08,4.717099774675937e-08
Synset('carpenter's_mallet.n.01'),tool,1,0,0.0,1.1141935483870968,1.157632522917497,18,1,1,nb,8.171900343911798e-10,7.860209427779097e-10,9.638067011152884e-10,6.768669427031915e-10,1.1961280854677625e-09,1.4901783036702643e-09,8.296191554502647e-10,1.4901783036702643e-09,6.099792514092628e-10,1.4901783036702643e-09,8.167996778459621e-10,4.9650816791313446e-09,1.156845151545018e-09,1.1101597863216739e-08,6.530937284897955e-10,1.510693437012378e-08,5.036357406238616e-10,1.510693437012378e-08
Synset('carpenter's_square.n.01'),tool,1,0,0.0,1.0129032258064516,0.922977281785572,18,1,1,nb,1.1472717624401567e-08,1.0613132976622364e-08,1.4763767028358465e-08,1.0601264673985403e-08,1.4763767028358465e-08,1.4763767028358465e-08,1.2631522846214457e-08,1.989554032633123e-08,1.3763403837109692e-08,1.989554032633123e-08,1.5502477976312018e-08,2.8359227896568306e-08,1.5469406218162056e-08,3.3726744064210834e-08,1.1770309640513177e-08,1.8189709294347267e-07,9.076719549703431e-09,1.8189709294347267e-07
Synset('carriage_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.7039657233957752,15,1,1,nb,3.5669470533804635e-11,1.8080641150941545e-11,3.616128230188309e-11,1.77104315009687e-11,3.616128230188309e-11,2.861015868660388e-10,3.169282148226696e-11,2.861015868660388e-10,3.6741856357489546e-11,4.342218251629504e-10,4.845256941128186e-11,7.616520747433242e-10,4.0670265564309874e-10,7.712326666187153e-09,2.0385843836474526e-10,7.712326666187153e-09,1.572062188158901e-10,7.712326666187153e-09
Synset('chain_tongs.n.01'),tool,1,1,7.85,1.215483870967742,2.2526903148664807,11,1,1,nb,3.7351653777515574e-10,8.054686778669051e-11,1.2493245327149793e-10,2.1676927440539284e-10,6.223653467585244e-10,1.3035485746382136e-09,4.691556814006068e-10,1.7229507612293027e-09,7.758197801508699e-10,3.246139454460284e-09,4.02462315488704e-09,3.394465963868498e-08,3.799664567056185e-09,3.394465963868498e-08,1.9045700198959935e-09,3.394465963868498e-08,1.4687164961121024e-09,3.394465963868498e-08
Synset('chain_wrench.n.01'),tool,1,0,0.0,1.3167741935483872,0.4380231167795934,12,1,1,nb,1.1222244781177776e-09,2.0886074328374526e-09,3.760773331640266e-09,1.193756950929048e-09,3.760773331640266e-09,3.760773331640266e-09,8.893371163506572e-10,3.760773331640266e-09,1.462778470382932e-09,4.3359875967485806e-09,2.4254088836338406e-09,1.0901499383764168e-08,2.6558596102471054e-09,3.04913816417951e-08,1.3312413507722398e-09,3.04913816417951e-08,1.026591887807054e-09,3.04913816417951e-08
Synset('chamfer_plane.n.01'),tool,1,0,0.0,1.0129032258064516,0.5162415304902351,13,1,1,nb,2.61105930437539e-10,2.0822076701731973e-11,4.1644153403463946e-11,1.3691982328016086e-10,4.62994503847014e-10,1.0013555540311359e-09,3.636117868439859e-10,1.0924098292619533e-09,3.5321960300821355e-10,1.3329048142995958e-09,3.752824263187838e-10,2.2850559361353717e-09,7.077316733801319e-10,8.486014557718136e-09,3.547482951356771e-10,8.486014557718136e-09,2.735655122103971e-10,8.486014557718136e-09
Synset('church_key.n.01'),tool,1,0,0.0,1.1141935483870968,1.157632522917497,10,1,1,nb,1.14885579452495e-08,9.325686819994239e-09,9.828020647306701e-09,1.0020919884399607e-08,1.1482263695405948e-08,1.96882340430804e-08,1.0385532834185826e-08,1.96882340430804e-08,6.760340068178945e-09,1.9793895411623907e-08,4.385444537251108e-09,1.9829115866648594e-08,4.2682594319432334e-09,3.0827987884674e-08,3.1747071632857536e-09,2.886521031086886e-07,2.4481876393799754e-09,2.886521031086886e-07
Synset('circular_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.0950577919489837,13,2,1,nb,6.043004756002179e-09,6.2248933473119106e-09,7.630030551819544e-09,5.58811096181e-09,7.630030551819544e-09,7.924602397901825e-09,6.346357640631062e-09,7.924602397901825e-09,7.644452197410242e-09,1.3536063103725127e-08,8.691230504710918e-09,1.6251012160961587e-08,1.4348693077557466e-08,7.20239228257924e-08,1.8509373656918954e-08,4.675333826753558e-07,1.4273574685431731e-08,4.675333826753558e-07
Synset('coal_shovel.n.01'),tool,1,0,0.0,1.0129032258064516,0.5005978477481068,11,1,1,nb,7.695806998608834e-09,6.261118741524019e-09,6.400546745388702e-09,6.985459691591367e-09,8.395633521729451e-09,1.2503261648255659e-08,6.620347586276731e-09,1.2503261648255659e-08,5.634357637042533e-09,1.2573702558305033e-08,7.892512669921634e-09,1.9498292355701885e-08,6.604983468035333e-09,2.2156833062725312e-08,3.324000068916158e-09,2.2156833062725312e-08,2.563315437760345e-09,2.2156833062725312e-08
Synset('combination_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.0950577919489837,17,1,1,nb,8.747582002189735e-10,2.958825337517901e-10,3.747973736922816e-10,2.859678524073465e-10,4.938607821303176e-10,4.541862719253942e-09,1.0279581594010328e-09,4.541862719253942e-09,9.988212163676596e-10,4.541862719253942e-09,1.7460012549487796e-09,8.627237785274744e-09,1.1035984781154115e-09,8.627237785274744e-09,5.531752970104681e-10,8.627237785274744e-09,4.265832578869187e-10,8.627237785274744e-09
Synset('compass_saw.n.01'),tool,1,0,0.0,1.1141935483870968,0.922977281785572,11,1,1,nb,3.2100250875971067e-09,1.0098386328538655e-09,1.332612929727528e-09,1.7399715245003389e-09,3.024897304859664e-09,1.0085081214583624e-08,2.8570549895819606e-09,1.0085081214583624e-08,3.5414207251640094e-09,1.0085081214583624e-08,5.952645738538485e-09,2.07683739095188e-08,4.753712933483907e-09,2.07683739095188e-08,2.4916566377173273e-09,3.561725847589514e-08,1.9214505994704774e-09,3.561725847589514e-08
Synset('coping_saw.n.01'),tool,1,0,0.0,1.1141935483870968,1.110701474691112,10,1,1,nb,1.4700833349572496e-08,1.1779363442987467e-08,1.3867502868247783e-08,1.3379293661968291e-08,1.5433149286314674e-08,2.363914441971815e-08,1.5301011059697442e-08,2.363914441971815e-08,1.9912430436352607e-08,3.5003238002540016e-08,2.7291815043020943e-08,6.899057081177773e-08,1.4832618298486624e-08,6.899057081177773e-08,7.43480368577509e-09,6.899057081177773e-08,5.733377457684253e-09,6.899057081177773e-08
Synset('crescent_wrench.n.01'),tool,1,0,0.0,1.1141935483870968,1.7208051016341173,15,1,1,nb,1.371170037392006e-08,9.196902982233635e-09,9.24500190291333e-09,1.2126395431781104e-08,1.6760400678439424e-08,1.8453551964281445e-08,1.2949692719433597e-08,1.8453551964281445e-08,1.111244928564621e-08,1.856084005935621e-08,9.272687439875864e-09,2.4596805425769475e-08,4.723281019378037e-09,2.4596805425769475e-08,2.367529887518667e-09,2.4596805425769475e-08,1.825729778644203e-09,2.4596805425769475e-08
Synset('crosscut_saw.n.01'),tool,1,0,0.0,1.1141935483870968,0.969908330011957,10,3,1,nb,2.3065111643859704e-08,1.6002201782411296e-08,1.6491084997571903e-08,1.9877913386492918e-08,2.2069403748936622e-08,2.7084530174192878e-08,2.683805045346541e-08,2.975255486425965e-08,3.627792165256649e-08,4.121193974970794e-08,4.8874868216255396e-08,8.754620195450258e-08,3.055902079132796e-08,8.754620195450258e-08,1.5549916546348642e-08,8.754620195450258e-08,1.1991377952088087e-08,8.754620195450258e-08
Synset('crown_saw.n.01'),tool,1,0,0.0,1.0129032258064516,0.8604025508170586,9,1,1,nb,2.179159309755924e-09,2.598780413087809e-09,3.0737090650490018e-09,2.2400114812794656e-09,3.0737090650490018e-09,3.0737090650490018e-09,2.1724119912030783e-09,3.1476985601353036e-09,1.89937242173417e-09,3.882809629374151e-09,1.640574404462061e-09,3.882809629374151e-09,2.8861257267448342e-09,1.7530401796861383e-08,1.867820389489461e-09,5.808108838323278e-08,1.4403768772793727e-09,5.808108838323278e-08
Synset('dado_plane.n.01'),tool,1,0,0.0,1.1141935483870968,0.5005978477481068,10,1,1,nb,2.3485859090843775e-10,3.890271785267352e-11,4.1644153403463946e-11,9.254720832278333e-11,2.1381000442355358e-10,1.0213932269409476e-09,2.435498847901185e-10,1.0213932269409476e-09,3.084745232943586e-10,2.069642235369429e-09,3.276423581701419e-10,2.069642235369429e-09,3.5665771793912455e-10,5.030370786585081e-09,1.7877356934105743e-10,5.030370786585081e-09,1.3786192558800774e-10,5.030370786585081e-09
Synset('ditch_spade.n.01'),tool,1,0,0.0,1.1141935483870968,0.8291151853328019,11,2,1,nb,1.7493133993119368e-09,1.825781248410152e-09,1.8484860309087026e-09,1.762849440497168e-09,1.8870014439897886e-09,2.532478227124102e-09,1.4853180289545054e-09,2.532478227124102e-09,1.1576709236526877e-09,2.532478227124102e-09,1.2164455792016766e-09,2.9102189547103308e-09,1.4123180770777776e-09,8.020418995613454e-09,1.5553827576393075e-09,7.330677931349783e-08,1.1994393957949276e-09,7.330677931349783e-08
Synset('dog_wrench.n.01'),tool,1,0,0.0,1.0129032258064516,0.6570346751693902,10,1,1,nb,1.2952434579428416e-10,2.0822076701731973e-11,4.1644153403463946e-11,1.0336652136085552e-10,2.4944502019508263e-10,3.087352040687108e-10,1.538266372745953e-10,5.390580759545571e-10,1.1946275205448996e-10,5.390580759545571e-10,1.6793205419486247e-10,1.3074828997261534e-09,1.142047472690921e-10,1.69621680590204e-09,5.724477356879679e-11,1.69621680590204e-09,4.414452730978368e-11,1.69621680590204e-09
Synset('dovetail_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.063770426464727,14,1,1,nb,8.284224632040058e-11,0.0,0.0,5.9391669822902076e-12,3.563500189374125e-11,6.794912410512666e-10,9.87982551259843e-11,6.794912410512666e-10,1.3331021546734852e-10,7.491298137374258e-10,1.0196863069945265e-10,7.491298137374258e-10,6.937653804466182e-11,2.099251661391577e-09,3.477477343385792e-11,2.099251661391577e-09,2.6816700282648128e-11,2.099251661391577e-09
Synset('entrenching_tool.n.01'),tool,1,0,0.0,1.0129032258064516,0.8916899163013152,15,2,1,nb,2.477481377183793e-08,1.6090257355660942e-08,1.7538221319668423e-08,2.3612290637788542e-08,3.703955803180392e-08,3.703955803180392e-08,2.1035546714562445e-08,3.703955803180392e-08,1.410313181277644e-08,3.703955803180392e-08,1.1035708370956501e-08,3.703955803180392e-08,7.661256757658409e-09,3.71938895238344e-08,3.921966898871203e-09,3.703955803180392e-08,3.024439858552601e-09,3.703955803180392e-08
Synset('file.n.04'),tool,1,7,7.85,0.9116129032258066,1.6425866879234754,4,1,9,b,6.87938426463833e-05,4.844974699835802e-05,4.866740590614427e-05,5.505250085964993e-05,6.48343584543909e-05,9.915444297803333e-05,8.566758887289845e-05,0.00011485423101476044,8.739693494893193e-05,0.00011964557097599027,7.048988668525633e-05,0.00011964557097599027,4.672222017056738e-05,0.00011964557097599027,2.9738895032424862e-05,0.000134010668261908,3.395719447873382e-05,0.001276429247809574
Synset('flat_file.n.01'),tool,1,0,0.0,1.0129032258064516,0.4536667995217218,9,1,1,nb,7.711129100655563e-08,3.710287754810082e-08,4.176908485753472e-08,4.852195586065496e-08,6.941830599238585e-08,1.4220298316658386e-07,8.242473670789997e-08,1.402413722928486e-07,5.250009551127535e-08,1.4220298316658386e-07,3.614227485245956e-08,1.4220298316658386e-07,2.3863989997716066e-08,1.4220298316658386e-07,1.2224236695054244e-08,1.4220298316658386e-07,9.426767143686061e-09,1.4220298316658386e-07
Synset('flat_tip_screwdriver.n.01'),tool,1,0,0.0,1.0129032258064516,1.3610003985651653,20,1,1,nb,2.0762964579968855e-10,8.182409610979491e-11,8.761879416452345e-11,2.9800002974515277e-10,7.637752097444661e-10,7.637752097444661e-10,1.6267211337882082e-10,7.637752097444661e-10,3.4864479503976206e-09,4.924271868045338e-08,1.7604836185176103e-09,4.924271868045338e-08,8.846211217426798e-10,4.924271868045338e-08,4.4341357972638064e-10,4.924271868045338e-08,3.4194008744284356e-10,4.924271868045338e-08
Synset('float.n.05'),tool,1,0,0.0,0.9116129032258066,1.6269430051813472,5,2,16,b,6.770114336799506e-06,6.417491903883826e-06,6.468282123250901e-06,6.642102258178767e-06,7.019434406174696e-06,7.372140743200362e-06,6.628152091540014e-06,7.436252751347183e-06,6.089865725347455e-06,7.436252751347183e-06,6.709492612037924e-06,8.781458262774322e-06,6.7528731326054495e-06,8.781458262774322e-06,4.7419677166130425e-06,1.1682755939546041e-05,4.625641249556048e-06,0.00019741729192901403
Synset('folding_saw.n.01'),tool,1,0,0.0,1.0129032258064516,1.2671383021123954,11,1,1,nb,2.1725070006861635e-09,1.1950184800046948e-09,1.2656448389325448e-09,2.1113226450717817e-09,3.268341691037291e-09,3.268341691037291e-09,2.156292755957555e-09,3.268341691037291e-09,1.7263752968027186e-09,3.268341691037291e-09,1.2863868374665825e-09,3.268341691037291e-09,9.907760633203454e-10,1.0835112362883592e-08,4.966234132852604e-10,1.0835112362883592e-08,3.8297305524497965e-10,1.0835112362883592e-08
Synset('fore_plane.n.01'),tool,1,0,0.0,1.0129032258064516,1.1419888401753686,10,1,1,nb,8.960820917351549e-10,5.57235813047896e-10,6.147417713764369e-10,9.737274308622517e-10,3.2847059620866315e-09,3.2847059620866315e-09,9.7933397370467e-10,3.2847059620866315e-09,1.292359879855451e-09,3.636607827373073e-09,1.8253829479649962e-09,1.0740875133752326e-08,1.763106097254237e-09,1.0740875133752326e-08,1.433878991426381e-09,1.749693154806664e-07,1.1057412991576515e-09,1.749693154806664e-07
Synset('garden_spade.n.01'),tool,1,0,0.0,1.1141935483870968,0.3910920685532084,12,1,1,nb,9.79669428282446e-09,9.064332950892151e-09,9.703087527901388e-09,9.507315555194277e-09,1.0957535961919618e-08,1.1728411408729045e-08,8.364769042932632e-09,1.1728411408729045e-08,6.015767216275542e-09,1.1728411408729045e-08,5.402174908556896e-09,1.1763631863753732e-08,5.199119642425413e-09,1.5777361639379706e-08,3.335209679583811e-09,1.0377179648912715e-07,2.5719597721405928e-09,1.0377179648912715e-07
Synset('garden_trowel.n.01'),tool,1,0,0.0,1.0129032258064516,0.4067357512953368,13,1,1,nb,8.261428469670666e-09,7.64236240957672e-09,9.32961075061911e-09,8.319958942279437e-09,9.32961075061911e-09,9.32961075061911e-09,7.133658867819206e-09,1.1232314245379627e-08,5.107993678495533e-09,1.1497383600733713e-08,5.967627809815147e-09,1.2094565293718773e-08,6.594064744105222e-09,2.485000294427664e-08,3.5289836895917624e-09,2.485000294427664e-08,2.7213893452428786e-09,2.485000294427664e-08
Synset('gavel.n.01'),tool,1,0,0.0,1.1141935483870968,0.8291151853328019,5,1,1,nb,4.475710422078485e-07,4.1443788134643e-07,4.2850168924246645e-07,4.3416843572193403e-07,4.791975065643328e-07,5.105256732917951e-07,4.4153823854814216e-07,5.281555512937075e-07,4.0256412735985863e-07,5.281555512937075e-07,5.776667264633227e-07,1.917634939729851e-06,4.3987074258384575e-07,1.917634939729851e-06,4.428553961697174e-07,3.198974536644528e-05,3.6733904693128434e-07,3.198974536644528e-05
Synset('hacksaw.n.01'),tool,1,0,0.0,1.0129032258064516,0.6257473096851335,7,3,1,nb,1.5656870536552192e-07,1.2304223702408468e-07,1.1351188966557402e-07,1.4526187334708748e-07,1.731753371814193e-07,1.731753371814193e-07,1.4555106765860794e-07,1.7447520839208863e-07,1.5270317083391913e-07,1.7447520839208863e-07,2.6165471651205325e-07,3.247100783809742e-07,1.5357186357684926e-07,3.247100783809742e-07,7.895339405007082e-08,6.012511448716396e-07,6.088521348861232e-08,6.012511448716396e-07
