norm,BNC_2_4m_Count
cleaning,49
morton,15
advances,31
arising,48
kennel,4
development,717
crop,51
players,165
parish,107
fall,239
art,317
whom,271
involved,394
ways,316
climbed,50
right,1958
again,1210
allowed,259
regard,125
replied,95
irish,133
jolted,2
between,1961
gaps,24
breach,72
nominated,26
pub,79
decision,360
problem,622
gesticulated,1
cloth,34
sweden,34
hole,92
prepare,61
matter,518
upon,509
combined,91
preparing,64
news,299
association,275
husband,229
coupon,14
0.5,12
william,157
numbers,249
deadline,25
dragging,10
top,534
lose,169
military,215
find,870
time,3267
industrialised,8
hang,74
maurice,24
committees,66
study,450
objects,97
long,1203
supported,120
fountain,17
usa,122
stewart,51
armed,117
rescue,43
pay,486
500,54
restructured,3
emburey,3
demands,127
property,270
straightened,16
teleworkers,1
tenor,7
ten,416
lee,93
wheat,23
five,847
whether,739
sites,117
launch,73
clients,119
finished,194
them,3504
revolutionary,48
zia,2
capacity,117
lifetime,32
multitude,14
incur,11
moving,212
our,1959
duffy,8
sectors,42
mr,1113
wall,251
scale,181
released,119
occur,117
…,1657
farrell,5
therefore,471
under,1322
ed,33
office,517
fort,14
pursuing,25
profession,61
beginning,260
family,712
increasingly,136
seat,130
concludes,17
vital,104
attlee,12
44,32
usually,393
taped,12
suggests,151
charles,175
agencies,76
statistical,53
sierra,17
direction,191
beneath,119
peace,190
afternoon,174
bolsheviks,6
enemy,60
lies,132
q,30
critical,126
tyll,1
objected,15
needles,19
stripe,1
working,612
thailand,15
edging,9
cases,389
safety,159
8,232
until,855
recognises,16
tell,641
reviewing,14
about,4195
fought,63
staff,494
third,438
bonaparte,1
reports,220
freely,26
ncr,10
girl,294
activities,256
paige,10
jobs,209
punishments,2
donna,29
york,185
ball,158
freckled,5
trade,420
26,96
closing,53
progress,173
began,482
door,437
elizabeth,80
/a/,3
form,814
pioneered,10
groups,423
arrives,16
ex-mayor,1
model,320
formula,57
permanent,98
works,294
allegedly,23
settling,16
opposition,190
dropping,21
listening,90
amazonia,1
cruised,4
facing,94
performs,12
declining,36
j,82
receives,25
away,1013
28,99
submission,18
responsibilities,71
receive,158
falling,105
cities,100
role,365
rather,958
villages,58
active,147
sarb,2
disaster,56
order,753
costs,322
travel,139
contend,13
controlled,108
fuel,95
million,547
compulsory,38
forty,137
degrees,71
competent,25
hammersmith,7
richard,220
land,432
election,180
maybe,208
booking,29
memorabilia,4
self,85
effect,487
78,16
relations,243
-0.17,1
outline,45
remained,166
latest,131
sue,44
understanding,205
hand,713
point,812
judge,137
please,300
functions,104
talk,332
candidate,75
benefits,155
event,207
stranded,6
dismissed,59
parliament,204
mineolas,1
human,406
organized,54
assistants,16
smoking,58
improvements,53
tore,17
sank,21
stuffing,3
felt,548
encouraged,102
kansas,10
us-russian,1
stages,98
'cos,6
guides,26
leaning,38
entrance,57
7/37,1
estate,118
perhaps,683
mental,119
uk,348
company,866
cup,244
derby,34
novel,95
hundred,369
difficult,453
problems,557
unseen,15
forgotten,90
bad,317
ka-prap,1
debate,143
applications,150
runs,117
concerned,373
enthusiastic,30
distinctive,47
short,410
women,858
base,206
piloting,4
rumoured,9
steeplechasers,1
accounting,75
release,122
discourse,42
amazed,33
tend,134
cross,144
mean,884
deletion,9
suitable,134
exhaustion,14
galadriel,2
spoil,18
zipper,1
notes,142
seel,1
lie,118
vocational,25
doubted,20
makes,359
susceptible,14
shade,32
ridge,22
sitting,195
parents,327
account,345
throats,7
population,317
shut,108
federalism,3
lotus,26
ellis,16
except,212
voice,507
devon,23
mission,47
rest,324
meadows,12
savings,64
caused,232
soviet,263
leisure,64
paris,120
territorial,31
investigations,45
sheffield,61
worry,139
address,142
prices,249
120,24
close,435
decade,83
lurking,17
inner,75
feared,59
paired,9
unusual,75
greener,2
wow,8
word,404
breath,101
shildon,3
ah,192
merchantable,2
faither-in-law,1
picard,2
ticket,53
bunch,29
wheeler,17
late,399
worthwhile,32
de,298
agency,123
men,806
manners,23
zone,49
adjacent,34
required,372
mark,256
honours,28
winding,26
sand,76
serious,243
charges,137
missionary,10
chronicle,14
issue,320
hope,337
cent,767
restricted,59
funds,140
wardrobe,21
predicted,35
races,36
19670,1
protected,58
clohessey,1
investment,216
cheating,8
easily,201
opening,148
radio,194
woodlands,9
section,383
truth,189
regime,80
ceratites,1
decisions,196
ones,251
society,545
financially,12
police,522
international,494
certain,476
requests,26
welcomed,47
succinctly,4
idea,452
modern,278
1895–1980,1
along,527
johnson,70
classic,70
almost,628
papilla,4
driver,118
reaped,4
lot,633
tonight,141
inflation,97
owner,98
curtain,29
applicants,28
weighed,15
bands,53
o,130
storage,72
view,531
taught,91
containing,97
c,378
showing,136
older,185
cashed,4
series,292
bravely,11
authority,379
publisher,38
poor,330
challenge,149
pressures,41
developments,128
video,137
press,276
realization,9
clearly,326
sit,172
gas,138
got,1873
death,423
built,268
polyester,9
lower,259
breeze,25
crucial,93
great,950
independent,241
',1009
strums,1
eight,385
census,15
exercise,197
transitional,12
outcome,73
le,58
flash,28
zimbabwe,12
funded,27
1973,57
crying,36
token,18
often,801
extinct,8
request,106
library,154
toothbrushes,2
attempts,107
partnerships,15
barbs,5
acci-hindiii,1
judgement,44
category,74
kill,108
points,299
derived,68
either,585
feline,1
short-term,32
despite,311
£700,4
fabia,6
theatre,131
struck,85
averaging,9
horse,149
making,585
weakened,18
remarks,36
commentator,8
creating,81
hell,140
ensure,187
tomato,18
last,1629
episode,27
+,61
intricate,10
chains,29
accommodation,89
court,586
economic,485
tourists,37
pollution,90
taller,13
lines,216
coming,400
cold,271
s,228
incidents,25
oh,1439
gravel,21
management,461
street,374
college,212
crowd,96
job,472
full,601
institutions,125
girls,193
peasants,34
kop,4
present,587
sylvia,14
script,27
box,180
traditional,190
confident,67
tribune,9
happen,199
device,60
functioning,19
wipe,16
requirements,112
scanners,4
us,1616
march,320
oxfordshire,39
acres,28
talked,101
partnership,70
belt,62
extension,80
distinctiveness,4
mind,577
train,166
general,788
kong,76
grove,22
satisfaction,61
