index,CHILDES_Count
second,148
da,52
waving,38
o,304
maybe,710
noise,622
quite,505
page,316
walking,210
marie,35
anna,624
both,294
bosters',3
hopeless,16
jump,453
ugly,15
thirteen,56
nelligan's,6
mammy,105
mom,226
teatime,17
starts,60
actually,491
weetabix,18
air,135
kept,63
beef,41
wear,323
bite,388
must've,33
pocketbook,25
they'd,51
couple,121
numbers,94
edinburgh,8
dog's,80
arm,297
snap,161
case,52
cried,62
nana,319
sings,15
bigger,501
dancing,225
playgroup,176
swim,166
fix,434
squirrel,80
exciting,60
egg,638
winy,4
wheels,374
robin's,16
donald,29
fiver,5
snowing,62
where've,52
missed,163
caravan,44
able,263
nuts,61
drop,242
pop,235
being,507
parrot,68
penguin,248
whose,283
spaces,1
yar,1
washed,113
bird,298
picnic,178
caroline,570
june,30
roads,26
early,115
trousers,318
pooey,9
baby's,253
plays,26
sleepy,108
flowers,220
nursery,312
tissue,129
ach,141
liked,68
bobo,102
ababababababababab,1
∙hhh,163
emily,52
who've,26
careful,691
came,602
stuck,843
shopkeeper,27
pans,25
behind,400
toolshed,1
build,537
tied,49
all_gone,374
anywhere,124
lion,451
zoo,282
ted,33
upwards,2
fond,8
brought,227
hug,327
cows,291
policeman,72
everything,445
stiff,42
ahrrrr,3
trouble,92
pasta,43
stem,11
color's,325
nac_nac's,4
nothing,453
sister,258
hungry,383
carl's,94
runaway,10
kitchen,276
slide,269
standing,236
says,1305
blankets,17
old_macdonald,22
lonely,22
hadta,225
wheel,254
rocks,24
television,142
dummy,50
come_on,241
exactly,72
snail,57
moon,135
glad,59
meant,96
tap,79
cousin,53
there'll,25
bell,86
bo,16
sing,555
sudden,12
feel,212
uhohuhohohoh,1
denver's,10
feather,34
bianca's,7
painting,174
toilet,149
roar,66
merrily,92
hhhhhh,4
mouth,724
whats,42
doggie,435
drives,32
thomas,685
caught,148
eyebrow,9
stop_and_shop,2
drum,74
ask,446
david's,13
↓else,3
field,292
miss_helpful,3
grandad,136
mr_ducks,1
hhhh,12
°ha,5
bow,85
thumb,114
most,74
aw,197
piglet,30
popper,14
opening,25
paint,289
bunches,7
ride,505
spears,2
brussels,8
occasion,2
squashing,37
hats,59
brushes,12
means,103
lucky's,16
careless,9
trunk,63
bump,193
row,268
friend's,23
yep,416
mner,1
jack,90
pulled,99
sharing,35
horrid,70
dollie,55
pigs,136
prove,7
coloring,126
pineapple_sweet,2
measles,15
unless,77
surprises,2
biggest,152
tasty,83
dry,243
letter,241
theater,7
doydoydoy,1
lid,371
bank,52
awful,177
nearly,390
popeye,15
face,555
moving,104
beach,199
bull,150
every,235
fridge,119
helping,86
tigers,104
around,501
carrying,97
hard,540
camera,168
infacol,3
apron,23
spot's,14
crawl,46
hear,546
milkbottle,53
pool,143
gladly,1
rosie,111
blow,393
swims,11
crisps,100
lo,4
wind,184
considering,3
showed,63
windows,106
tumble_tots,23
bookcase,5
seen,504
curly,59
lawnmower's,3
leopard,16
place,274
true,38
la,84
mobilgas,1
damaged,1
chicken,390
ta,236
ogive,2
bulldozer,77
how's,144
crisp,38
argh,8
bibs,9
jumping,198
heel,11
dressing,43
buntin,1
butter,100
best,217
microphone,67
filling,16
spell,135
kids,129
freezer,31
cal,36
multistory,3
wow,384
cousins,14
jigsaw,204
aboard,5
interesting,66
everybody,232
excuse,225
hundred,43
moo,178
lulu,24
ooh,169
noel,8
hiding,371
hill,90
elsie_grandma,85
friends,199
borrow,32
pancake,22
ick,2
breakfast,341
lizard,10
magnets,10
italy,23
fell,438
side,525
made,632
horrible,171
such,102
boing,58
santa,150
asleep,325
body,101
hooves,8
change,255
shops,123
doggy,208
happy_birthday,91
bike,284
bump^bump^bump^bump,1
existed,2
pony,71
shaky,44
keeps,101
cards,140
changing,35
chimney,115
neither,31
corner,166
disney,7
c,161
spout,14
cotton,22
snowplow,7
penguins,105
scary,52
july,35
trick,46
