index,CHILDES_Count
boots,54
hall,16
record,32
tom,44
scissors,57
carry,78
leave,294
face,242
duck,233
zebra,13
mine,478
mice,24
cleaning,19
percy,111
phone,113
signal,4
scary,16
worry,52
lego,59
boys,106
jim,48
brave,12
pulling,60
tomato,109
taken,43
ya,277
cooked,18
sookie,4
boring,28
tongue,42
yum_yum,7
frog,71
tones,2
chicken,169
nine,156
torture,5
road,150
thomas,294
it'd,16
gate,62
throw,266
suit,40
needle,9
typol,2
elephant,277
goodness,100
shake,58
circle,80
tuner,2
swings,13
shy,8
tall,80
rabbit's,20
christmas,210
they've,108
clicked,9
fox,22
hole,175
stopped,45
man's,46
tuesday,34
pens,14
cute,14
grandpa,68
beach,78
snowman,36
comes,217
grubby,2
danced,2
baby°,1
trapping,1
wash,210
gates,16
refrigerator,10
doughnut,17
squash,27
in_between,5
p_one,7
grace,12
poodle,18
mr_drake,1
penguin,110
worzel,4
rocking,21
grrr,38
oh_my_goodness,25
sign,15
cat's,27
chug,31
adventure,2
oop,19
miller,1
naughty_nick,13
peace,6
camel,24
wind,87
aspirins,1
horses,86
barbie,36
spin,14
porker,1
teradactyls,1
aunty,8
waving,19
wheel,128
°now°,2
juicy,9
rub,35
ursula's,15
floor,331
taking,157
jo,4
wrote,11
wheels,170
grampy's,1
scribbling,10
trumpet,11
whoo,47
quick,114
chimney,59
chug^chug,2
flies,11
closed,45
use,238
nasty,35
taffy,1
yolk,7
pretending,15
hammer,82
worth,6
laurie,7
dominic's,6
at_least,8
blood,14
wo_wo,9
macdonalds,11
frolicking,1
weights,1
cousin,25
pigs,68
traffic,13
hundreds,2
small,143
josh,6
called,352
great,231
mask,8
sat,62
needs,152
sandwiches,19
foodee,2
annie,30
work,339
thirty,41
kangaroo,34
easter_egs,1
tickles,21
sticky,74
jackinabox,3
suitcase,34
green,547
vacuuming,2
night_night,69
bottle,165
crawling,10
princess,28
train'll,4
place,105
clapping,13
cul-de-sac,3
capsized,2
auntie_linda,4
medicine,44
fiddly,5
tulips,2
gail,70
phew,6
anyhow,10
basket,133
sweed,2
fast_eater,2
fish,294
bobble,17
boxcar,1
ben,26
dog's,25
screwdriver,26
starting,23
smooth,9
thin,12
nectarine,7
toybox,15
toast,109
talking,146
cut,247
wrecked,2
puppet,7
bus,172
king,34
near,106
strawberrys,32
favor,1
light,118
ernie,5
granddad,58
computer,14
pinga,17
hippopotamus,24
shaving,7
vehicles,17
brush,70
bill,74
along,74
hoho,2
james,77
kills,3
stickers,36
puts,27
fire,139
louise,29
bowls,11
roast,21
sore,68
meant,34
bigger,211
thing's,5
walky,2
cheating,11
chin,38
d,74
than,153
cromer's,11
triangle,31
wolf,29
cupboard,42
crown,29
f,16
bows,4
unicycle,1
policeman,25
blow,172
woo,27
bet,98
writing,87
sad,79
cause,73
twinkle,26
melon,15
watched,11
key,61
tip,85
frozen,1
parked,15
wee_wee,61
happening,78
henry,78
zita's,8
sheep,149
year,115
yoyo_men,1
ursula,123
labor,6
maybe,318
ay,28
banana,120
unicorn's,1
tin,66
pubs,1
katie's,4
loving,2
snake,104
fireworks,5
terrible,56
benny_the_breakdown_truck,7
crawl,21
books,129
rip,24
six,214
brick,87
radiator,13
hiding,150
case,16
ella↑,1
hers,34
bunnyrabbit,12
yet,318
fast,101
spots,45
georgy,6
dan_dog,9
beep,90
nightmare,13
controller,7
bin,84
oldest,7
chinese,14
mini,14
lettuce,50
tar,4
straightened,7
wake,112
tent,35
stripy,15
suits,3
stages,1
ladybird,24
all_gone,179
game,227
unless,25
linda,14
