norm,KBNC_1m_Count
promise,86
risk,35
wash,47
burst,92
actually,97
cook,55
bewildered,19
bloodshot,8
africa,28
number,186
potsdam,1
grant,10
suitcases,9
maud,53
stayed,85
let,595
trap,42
got,1350
rua,6
deeper,15
cobbler,4
shot,93
shirts,3
betrayed,4
filthy,19
great,440
wind,131
blinked,46
fully,26
flew,87
yes,656
planes,19
mile,25
wickedly,1
old,873
temptation,6
o'clock,53
protest,21
waved,61
significant,3
gerbil,1
children,333
pram,15
shortage,3
hollidaye,127
too,1093
their,1539
pink,103
ben,21
hat,97
sound,232
lucky,81
grown-ups,23
hard,331
offence,6
many,444
went,901
held,214
black,348
lead,77
looking,508
morning,284
fräulein,38
early,95
trainers,17
beneath,58
monument,56
focus,36
track,71
removing,5
worm,113
sewing,20
attempt,36
aunty,13
yet,241
car,335
least,197
gloom,22
henry,17
queen,94
ugly,29
swiss,7
alight,5
patter,3
sense,104
settled,66
fit,82
spilt,9
same,413
events,24
brown,301
stroked,13
street,141
fascinated,18
cover,71
while,499
send,73
knew,635
annoyed,24
ghosts,44
alarmed,12
clean,101
tart,6
staring,123
weeks,102
bright,137
vision,15
clear,140
specially,25
dog,343
sniffing,6
face,821
run,278
gathered,55
interviewed,5
coast,20
celery,4
cure,10
aerobatic,1
caught,234
short,156
newspaper,35
tiny,165
pathetically,3
dreadful,38
heart,174
rather,247
earl,19
teeth,116
pronounced,4
continued,98
realising,5
',213
dramatizing,1
written,65
feet,335
coals,13
john,100
ghost,61
born,64
taste,40
weight,55
parcelled,1
appeared,89
beads,22
bitterly,22
marshes,10
turned,613
mean,471
listening,101
wild,87
realized,87
lear,1
bros,12
bus-stop,9
sides,98
emerged,18
'cos,10
breath,156
uncle,232
st.,5
talked,79
wet,95
recognize,17
easier,38
archaeologist,4
luch,101
wish,131
glared,35
hear,305
mungo,498
singing,46
horse-feed,1
sometimes,183
dead,227
none,100
scarlet-faced,1
cheeks,72
start,216
rhys,3
noises,19
set,341
happened,231
party,90
hung,97
glass,196
falling,76
squawrk,1
ent,55
basement,24
cupressus,2
less,103
around,526
area,102
pop,22
walked,296
lightly,20
derbyshire,1
truth,72
dart,9
mug,21
anyway,193
gather,13
bookman,121
growing,84
maiden,19
hit,94
presently,22
cut,217
stashed,2
trotted,10
advantage,15
further,90
kind,215
searched,22
um,7
tried,315
living,110
pound,18
sign,97
symmetry,13
battle,27
neat,31
leaned,99
enough,438
racking,4
lid,41
town,133
usual,91
fix,17
asked,883
talking,211
living-room,23
liver,7
gryphon,5
buy,85
mam,14
floorboards,16
bridhe,65
iron,62
parents,120
minds,22
minor,6
gone,344
new,411
anger,52
forehead,48
pack,208
foolish,16
baby,172
knacker,32
instead,154
woods,49
anne,166
method,42
gasp,18
heavy,119
beg,37
christian,37
need,351
finds,18
tablets,2
nails,350
blanket,50
cart,42
reeder,1
beaton,23
relief,55
block,23
sliced,14
palace,54
else,312
often,164
god,266
worked,102
goebbels,1
dig,15
sun,162
tamara,2
ok,45
invaded,6
discuss,17
element,9
choose,53
counter,34
d',86
together,335
closed,126
hour,125
hissed,40
grew,94
chance,148
trefoil,5
ask,301
walls,125
ante-natal,2
ideas,51
gets,85
discover,19
moving,138
undulated,1
soldiers,29
halfway,29
bovine,3
mountain,71
harmful,8
monk,6
masklin,466
point,188
until,419
excellent,23
horse,163
ocean,20
foot,124
negro,6
unlike,25
closer,67
compete,4
floated,14
pointed,97
relaxed,27
streamlined,1
frustration,21
dinners,9
carriage,21
completion,1
worrying,27
book,191
superfluous,3
books,159
excitedly,27
riverbank,39
itself,90
wine,77
stocking,10
bookmark,16
castle,66
knock,138
absent,6
ended,34
busy,87
reflexes,1
christ,26
aeroplane,13
means,97
caterpillar,17
gear,11
easter,11
cheryl,42
following,188
sleeves,20
cube,17
comfortable,36
claymores,1
snooping,2
handguns,1
chair,156
reading,91
name,344
proud,42
touch,87
nicholson,28
guard,67
frightened,109
sleep,150
hair,314
dumped,6
figure,86
deceptively,2
gaped,9
declare,6
trunchbull,190
neither,90
friends,206
experiencing,3
aloneness,1
quay,11
recharged,1
arguments,4
depend,8
seal,12
feeling,204
pay,75
survey,3
ranked,1
left,574
games,44
reporter,6
suffering,18
ordered,49
brenda,45
gun,85
bathed,5
phenomenal,2
size,64
plane,86
rumble,7
amenable,4
gennelmen,2
simply,121
announced,20
rain,115
order,81
trousers,36
drawing,35
ways,67
milosu,3
crawl,17
leg,69
arched,10
dragoon,1
robes,7
slept,56
bottle,89
bicycle,27
wilfred,12
porter,20
swelling,4
b,121
wheel,91
real,205
adventure,17
pulling,83
graphs,12
canal,31
sounding,22
front,402
cat,149
complained,27
20km,2
hopelessness,1
friend,219
dietrich,2
moor,14
behind,429
townsfolk,1
nose-high,1
friendship,20
torch,54
enemy,39
crangle,55
recipe,8
accustomed,12
breeze,393
simon,264
pussy,2
crisps,17
adults,12
ma,36
gurder,254
destruction,2
possible,112
mum,437
zanya,54
dibdin,4
silver,103
involved,28
low,117
hawkins,35
catholic,4
landlord,18
afterthought,3
hounds,4
empty,145
became,132
bully,34
coffee,64
free,165
marry,26
stones,83
nice,243
hymn,7
darkness,88
dangerously,8
south,42
pickled,2
strode,23
knitting,17
chords,1
axe,24
months,82
library,96
blue,186
lady,171
top,346
light,290
directly,38
wary,8
cigars,5
forward,178
pictures,82
noise,163
oooh,2
stream,20
bobbing,6
haff,4
reminder,3
philippa,84
talk,238
stick,81
milk,93
hole,103
dressing,16
fell,201
met,128
