norm,BNC_1m_Count
vital,39
attlee,5
44,12
usually,155
taped,5
suggests,66
charles,80
agencies,33
statistical,12
sierra,8
direction,91
beneath,50
peace,89
afternoon,76
bolsheviks,2
enemy,23
lies,60
q,15
critical,48
tyll,1
objected,9
needles,5
stripe,1
working,251
thailand,4
edging,4
cases,163
safety,72
8,98
until,354
recognises,6
tell,302
reviewing,6
about,1754
fought,26
staff,205
third,196
bonaparte,1
reports,90
freely,8
ncr,4
girl,128
activities,105
paige,5
jobs,72
punishments,1
donna,14
york,80
ball,58
freckled,5
trade,168
26,54
closing,22
progress,73
began,196
door,198
elizabeth,35
/a/,1
form,351
pioneered,5
groups,184
arrives,9
ex-mayor,1
model,128
formula,27
permanent,49
works,125
allegedly,13
settling,7
opposition,69
dropping,8
listening,36
amazonia,1
cruised,4
facing,38
performs,5
declining,20
j,34
receives,10
away,421
28,44
submission,9
responsibilities,23
receive,67
falling,40
cities,39
role,147
rather,386
villages,22
active,66
sarb,1
disaster,21
order,338
costs,128
travel,72
contend,6
controlled,33
fuel,35
million,206
compulsory,10
forty,52
degrees,29
competent,10
hammersmith,3
richard,84
land,157
election,68
maybe,81
booking,12
memorabilia,1
self,38
effect,193
78,5
relations,96
-0.17,1
outline,20
remained,71
latest,55
sue,21
understanding,96
hand,284
point,311
judge,56
please,124
functions,42
talk,129
candidate,29
benefits,71
event,77
stranded,2
dismissed,30
parliament,87
mineolas,1
human,147
organized,23
assistants,6
smoking,27
improvements,20
tore,8
sank,8
stuffing,2
felt,224
encouraged,47
kansas,4
us-russian,1
stages,35
'cos,2
guides,11
leaning,21
entrance,21
7/37,1
estate,57
perhaps,266
mental,53
uk,141
company,351
cup,95
derby,14
novel,35
hundred,156
difficult,196
problems,217
unseen,4
forgotten,41
bad,136
ka-prap,1
debate,55
applications,53
runs,59
concerned,156
enthusiastic,14
distinctive,13
short,168
women,379
base,81
piloting,2
rumoured,2
steeplechasers,1
accounting,29
release,55
discourse,20
amazed,13
tend,61
cross,61
mean,349
deletion,3
suitable,45
exhaustion,6
galadriel,1
spoil,6
zipper,1
notes,64
seel,1
lie,59
vocational,13
doubted,6
makes,152
susceptible,5
shade,15
ridge,8
sitting,80
parents,126
account,138
throats,4
population,120
shut,44
federalism,1
lotus,6
ellis,7
except,88
voice,214
devon,11
mission,23
rest,122
meadows,9
savings,26
caused,82
soviet,118
leisure,31
paris,61
territorial,9
investigations,19
sheffield,27
worry,60
address,58
prices,101
120,13
close,189
decade,33
lurking,9
inner,31
feared,19
paired,3
unusual,33
greener,1
wow,4
word,174
breath,47
shildon,1
ah,80
merchantable,1
faither-in-law,1
picard,2
ticket,22
bunch,13
wheeler,6
late,176
worthwhile,19
de,115
agency,57
men,358
manners,8
zone,19
adjacent,18
required,170
mark,103
honours,11
winding,11
sand,37
serious,95
charges,54
missionary,7
chronicle,6
issue,136
hope,150
cent,327
restricted,28
funds,54
wardrobe,9
predicted,10
races,15
19670,1
protected,22
clohessey,1
investment,73
cheating,6
easily,82
opening,57
radio,78
woodlands,5
section,162
truth,81
regime,38
ceratites,1
decisions,67
ones,113
society,222
financially,7
police,216
international,207
certain,206
requests,13
welcomed,20
succinctly,1
idea,202
modern,119
1895–1980,1
along,227
johnson,35
classic,31
almost,257
papilla,2
driver,52
reaped,2
lot,247
tonight,64
inflation,43
owner,40
curtain,13
applicants,11
weighed,9
bands,24
o,55
storage,30
view,217
taught,37
containing,42
c,164
showing,42
older,72
cashed,2
series,124
bravely,4
authority,151
publisher,13
poor,151
challenge,68
pressures,23
developments,61
video,52
press,108
realization,4
clearly,129
sit,66
gas,57
got,795
death,193
built,99
polyester,4
lower,107
breeze,10
crucial,45
great,429
independent,101
',412
strums,1
eight,173
census,7
exercise,86
transitional,5
outcome,31
le,23
flash,12
zimbabwe,5
funded,9
1973,28
crying,13
token,8
often,344
extinct,3
request,41
library,65
toothbrushes,2
attempts,51
partnerships,9
barbs,4
acci-hindiii,1
judgement,18
category,32
kill,45
points,126
derived,32
either,265
feline,1
short-term,17
despite,126
£700,3
fabia,1
theatre,53
struck,29
averaging,4
horse,61
making,249
weakened,6
remarks,13
commentator,4
creating,35
hell,55
ensure,76
tomato,11
last,694
episode,11
+,32
intricate,3
chains,4
accommodation,47
court,276
economic,200
tourists,14
pollution,36
taller,8
lines,76
coming,162
cold,108
s,102
incidents,11
oh,571
gravel,9
management,183
street,164
college,96
crowd,40
job,192
full,242
institutions,59
girls,76
peasants,17
kop,3
present,237
sylvia,5
script,12
box,76
traditional,78
confident,27
tribune,3
happen,95
device,31
functioning,9
wipe,7
requirements,47
scanners,1
us,678
march,133
oxfordshire,18
acres,9
talked,47
partnership,33
belt,23
extension,35
distinctiveness,3
mind,245
train,63
general,324
kong,32
grove,11
satisfaction,23
banker,6
self-fertile,1
mike,38
outstanding,29
refer,26
persuade,16
spoke,52
fostering,2
craftsmen,6
cultivated,5
future,187
smolensk,1
molly,6
£370,1
darkness,22
ever,229
ethical,13
likely,218
market,268
balance,85
adequately,8
gs2,1
needing,6
randall,2
audits,1
90pc,1
services,200
stresses,12
books,117
1″,1
1600–1840,1
blown,13
thought,488
throbbed,1
ceramics,5
widely,60
m7b5,1
lynn,5
balcony,10
included,105
painting,42
troupe,4
lean,8
collecting,14
playa,2
else,185
reached,102
called,292
available,243
trust,77
hot,84
displaced,7
1790s,4
ebb,3
age-sex,1
providing,87
european,162
vest,4
toes,9
principal,36
previous,93
needs,172
variations,13
resulted,35
columns,14
off,666
clinch,3
longer,142
vote,64
unsuccessful,7
less,342
chief,110
left,398
butts,1
claims,70
chose,25
term,121
relatively,68
halswelle,1
fist,3
policy,225
goes,117
sacking,3
displays,18
express,36
equipped,9
disrespect,3
civil,75
debated,7
gwrach-y-rhibyn,1
daisies,2
replace,26
patients,162
sub-committee,3
related,89
170c/325f/gas,1
aimed,34
statements,41
cumbernauld,3
realized,30
mo,6
really,404
hendon,2
friend,139
strainers,1
invisible,11
closed,85
oysters,1
minister,219
division,89
ninety,28
efficiency,34
steyr,1
light-hearted,2
ideas,95
believed,72
experiment,31
1989,130
equipment,74
spain,40
everything,198
accessible,21
munificent,1
rents,6
outside,207
similarly,35
"25,000",1
passing,57
cut,137
lights,35
adversely,4
catholic,41
tips,8
quite,341
opener,4
contemporary,32
1972,31
winner,23
user,46
state,366
possible,304
use,550
handling,35
