index,CABNC_Count
bring,466
kevin,79
health,67
lance,6
sits,44
professor,5
disgraceful,10
leading,22
cheesecake,6
mess,161
true,381
sir,38
clear,162
twice,158
tens,41
extension,33
gave,308
shops,160
sack,31
guitar,17
thousand,548
cowboy,14
rest,323
hell,462
suet,5
sprouts,36
sage,11
allowed,214
aye,688
hole,134
continuing,6
bearing,20
shop,524
sure,948
cup,378
retaliating,4
fit,214
goodness,159
riding,45
happy,378
charlotte,208
stop,628
telling,257
dulwich,12
lolly,13
geoff,34
dirt,20
trailer,37
sometimes,463
cups,45
pays,30
brought,319
bernard,70
wanted,722
structure,8
mi,48
set,317
run,461
preparation,21
job,670
played,185
whisky,70
areas,65
first,1591
maggie,29
mares,3
street,201
thi,34
bicycle,18
standards,9
caroline,24
disabled,23
towel,26
shadow,9
hard,428
monkey,24
westbond,2
cat,188
rainham,3
high,323
hill,136
pool,88
train,247
spare,94
meal,156
pauline,24
jesus,123
arrived,43
balloons,24
acceptable,11
drill,31
derek,47
ordinary,105
comes,661
felt,209
model,61
safety,22
life,393
communion,45
corner,297
aah,44
divided,35
gross,21
forgotten,124
fairly,113
cleaning,66
tend,102
days,656
falling,73
paid,445
sixteen,205
yo,362
odds,22
shrewd,1
normally,238
moved,225
ninety,605
fault,123
present,178
show,404
hughie,4
andy,83
goody,35
bread,239
hates,22
lent,28
husband,180
forever,40
honeymoon,9
reckon,376
quickly,155
ministry,68
territory,7
basically,139
area,284
feet,249
ready,445
holes,62
better,1529
triangle,17
girl,649
pudding,131
betty,74
tomatoes,45
hair,468
hire,35
its,606
ouch,9
full,415
regular,31
decided,137
college,101
whose,82
bastard,59
library,89
expected,43
twenty-sixth,1
dinner,420
keeps,135
banging,28
ball,206
pat,102
lane,119
pie,107
stay,408
packet,111
representatives,5
lankan,2
sandbags,6
furniture,28
nobody,326
enrolled,4
guy,132
tidy,67
hit,205
eighteen,192
pulling,74
wants,611
fi,35
lancaster,28
proudly,5
g,184
crocuses,5
portsmouth,14
broken,122
gap,36
birthday,375
wear,312
seem,272
hat,107
wallpaper,30
lenny,11
dear,1262
presented,9
throat,73
breadcrumbs,2
girls,260
vicki,26
january,61
nah,19
norman,24
flashy,3
live,344
buy,769
booked,67
spewed,3
organization,18
living,254
finding,60
group,128
donnington,9
microphone,74
cherub,25
wr,3
strasse,8
ugly,36
loose,50
poorly,16
reduced,59
whatever,562
either,495
since,357
assembly,60
move,431
weighed,10
game,235
weeks,438
dull,12
copy,37
jenny,97
swatch,13
iffy,7
ipswich,19
bought,742
helping,58
whatsoever,23
gate,124
quick,253
drizzly,2
young,341
found,399
daughter,157
bits,369
main,157
balance,34
travelling,43
which,1899
afford,139
syrup,15
prefer,96
mont,1
mouth,145
honeysuckle,4
letters,138
play,711
passed,121
mr,239
keen,57
upon,47
tools,43
shot,123
lots,265
limited,10
washing,231
water,600
guildford,25
kennel,9
crop,8
raining,58
jason,48
tim,381
dragging,6
shirts,42
hazel,18
american,59
lunch,271
shelf,44
lemon,53
behind,381
cheese,197
germany,58
seems,322
write,344
units,23
sally,125
yours,360
calendar,14
lesson,43
re,75
wrestling,10
ron,55
nan,108
miss,244
front,577
december,57
definitely,257
thankyou,17
mid,11
absolutely,372
bike,110
crab,8
p,470
glass,129
saying,1064
needs,233
da,305
suspicious,16
somewhere,535
abu,7
fifteenth,30
church,347
underpass,2
light,356
barracks,11
dumb,8
card,289
law,53
words,264
am,547
breast,25
homes,15
number,693
blows,15
sent,231
journalist,2
political,13
wedge,7
size,259
projects,13
marge,31
america,63
places,148
helps,40
kent,13
planned,27
clutch,33
lead,78
body,139
crowded,9
troubles,19
shove,33
h,174
tea,670
finance,38
call,565
hurts,39
gen,3
whether,667
engine,121
running,254
wi,90
brakes,23
post,151
cards,144
laid,47
all-rounder,1
stirring,15
penis,2
knock,129
wrote,105
lands,7
little,2376
nineteen,245
fair,304
letter,258
promotions,13
modules,8
d,290
james,236
suite,70
drunk,79
harry,38
minute,640
taken,359
business,203
fact,383
cause,69
magazine,50
fluffy,6
smell,108
blue,290
colour,284
envelope,34
drawer,55
london,255
saturday,509
coming,1447
gary,89
marks,149
speak,223
rain,157
sony,22
s,553
prison,19
nose,137
john,372
forgot,173
stocking,12
tin,145
javelin,19
emergency,13
maybe,472
fourteen,158
wooh,2
far,529
known,145
glazing,18
books,194
cold,554
across,348
year,1295
large,123
accident,64
w,180
fridge,117
gethwyn,2
caterham,2
also,412
bouncing,10
later,431
saucepan,23
bedroom,318
squadron,9
o,514
indoors,31
ordered,58
sometime,31
question,181
cracking,21
different,759
cheque,87
goodies,7
brilliant,216
tattoos,6
truth,109
poem,11
meeting,137
judith,9
moor,9
shield,11
pontepool,6
several,75
sell,260
imogen,2
lying,78
earn,33
green,338
india,23
looks,793
asking,148
hope,461
stars,31
diary,45
pelgrin,2
naughty,111
colin,117
garage,181
self,32
superstore,7
keeping,91
o'clock,541
crisped,2
valentine,8
darinda,1
coke,28
avenue,20
personally,54
senior,29
sidewards,1
somehow,69
geoffrey,18
marvellous,81
seat,141
thursday,343
audrey,25
rocket,62
pane,4
lawns,8
scrapes,2
dum,25
forward,118
trousers,154
nought,109
